,,,BookingID,BookingStatus,BookingStatus
,,,Total Booking,Total Canceled,Total Not Canceled
Seasons,RoomType,MarketSegment,,,
13,0,0,322,61,261
13,0,1,2779,982,1797
13,0,2,1352,460,892
13,0,3,26,0,26
13,0,4,33,10,23
13,1,1,175,95,80
13,1,2,2,0,2
13,1,3,2,0,2
13,2,0,23,5,18
13,2,1,1145,431,714
13,2,2,76,3,73
13,2,3,11,0,11
13,2,4,14,11,3
13,3,1,92,32,60
13,3,2,16,5,11
13,4,0,7,0,7
13,4,1,18,6,12
13,4,2,10,0,10
13,4,3,1,0,1
13,5,1,13,6,7
13,5,3,8,0,8
14,0,0,231,27,204
14,0,1,3733,1628,2105
14,0,2,2054,805,1249
14,0,3,46,0,46
14,0,4,7,1,6
14,1,1,239,113,126
14,1,2,2,2,0
14,1,3,1,0,1
14,2,0,27,8,19
14,2,1,1280,594,686
14,2,2,85,18,67
14,2,3,7,0,7
14,3,1,156,77,79
14,3,2,9,0,9
14,3,3,5,0,5
14,4,0,18,4,14
14,4,1,14,5,9
14,4,2,20,7,13
14,4,3,5,0,5
14,5,1,38,14,24
14,5,2,1,1,0
14,5,3,7,0,7
15,0,0,491,36,455
15,0,1,4382,1573,2809
15,0,2,3310,1129,2181
15,0,3,81,0,81
15,0,4,7,2,5
15,1,0,2,0,2
15,1,1,221,87,134
15,1,2,7,0,7
15,1,3,3,0,3
15,2,0,30,4,26
15,2,1,1249,510,739
15,2,2,252,8,244
15,2,3,9,0,9
15,2,4,38,10,28
15,3,0,1,0,1
15,3,1,101,36,65
15,3,2,18,0,18
15,3,3,8,0,8
15,4,0,18,12,6
15,4,1,41,12,29
15,4,2,22,10,12
15,4,3,7,0,7
15,5,1,31,8,23
15,5,3,6,0,6
15,6,0,1,0,1
15,6,1,1,1,0
15,6,2,1,0,1
16,0,0,401,13,388
16,0,1,2086,427,1659
16,0,2,1079,77,1002
16,0,3,49,0,49
16,0,4,1,0,1
16,1,1,96,25,71
16,1,2,9,0,9
16,1,3,7,0,7
16,2,0,3,0,3
16,2,1,543,99,444
16,2,2,73,0,73
16,2,3,12,0,12
16,3,1,150,27,123
16,3,3,5,0,5
16,4,0,16,0,16
16,4,1,6,1,5
16,4,2,10,1,9
16,4,3,2,0,2
16,5,0,5,0,5
16,5,1,4,1,3
16,5,2,4,0,4
16,5,3,10,0,10
16,6,3,1,0,1
